"N,F/P,P/F,P/A,A/F,A/P,
1,1.1800,0.8475,1.0000,0.8475,1.0000,1.1800,
2,1.3924,0.7182,2.1800,1.5656,0.4587,0.6387,
3,1.6430,0.6086,3.5724,2.1743,0.2799,0.4599,
4,1.9388,0.5158,5.2154,2.6901,0.1917,0.3717,
5,2.2878,0.4371,7.1542,3.1272,0.1398,0.3198,
6,2.6996,0.3704,9.4420,3.4976,0.1059,0.2859,
7,3.1855,0.3139,12.1415,3.8115,0.0824,0.2624,
8,3.7589,0.2660,15.3270,4.0776,0.0652,0.2452,
9,4.4355,0.2255,19.0859,4.3030,0.0524,0.2324,
10,5.2338,0.1911,23.5213,4.4941,0.0425,0.2225,
11,6.1759,0.1619,28.7551,4.6560,0.0348,0.2148,
12,7.2876,0.1372,34.9311,4.7932,0.0286,0.2086,
13,8.5994,0.1163,42.2187,4.9095,0.0237,0.2037,
14,10.1472,0.0985,50.8180,5.0081,0.0197,0.1997,
15,11.9737,0.0835,60.9653,5.0916,0.0164,0.1964,
16,14.1290,0.0708,72.9390,5.1624,0.0137,0.1937,
17,16.6722,0.0600,87.0680,5.2223,0.0115,0.1915,
18,19.6733,0.0508,103.7403,5.2732,0.0096,0.1896,
19,23.2144,0.0431,123.4135,5.3162,0.0081,0.1881,
20,27.3930,0.0365,146.6280,5.3527,0.0068,0.1868,
21,32.3238,0.0309,174.0210,5.3837,0.0057,0.1857,
22,38.1421,0.0262,206.3448,5.4099,0.0048,0.1848,
23,45.0076,0.0222,244.4868,5.4321,0.0041,0.1841,
24,53.1090,0.0188,289.4945,5.4509,0.0035,0.1835,
25,62.6686,0.0160,342.6035,5.4669,0.0029,0.1829"
